"dt_sin_pri","n.casos"
2019-12-31,1
2020-01-04,1
2020-01-10,1
2020-01-25,2
2020-02-01,2
2020-02-03,1
2020-02-11,1
2020-02-16,1
2020-02-18,1
2020-02-20,2
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-25,1
2020-02-26,2
2020-02-27,4
2020-03-01,9
2020-03-02,3
2020-03-03,2
2020-03-04,1
2020-03-05,3
2020-03-06,2
2020-03-07,1
2020-03-08,3
2020-03-09,7
2020-03-10,5
2020-03-11,6
2020-03-12,6
2020-03-13,11
2020-03-14,13
2020-03-15,12
2020-03-16,17
2020-03-17,28
2020-03-18,18
2020-03-19,27
2020-03-20,48
2020-03-21,25
2020-03-22,17
2020-03-23,53
2020-03-24,34
2020-03-25,36
2020-03-26,41
2020-03-27,41
2020-03-28,36
2020-03-29,27
2020-03-30,36
2020-03-31,31
2020-04-01,50
2020-04-02,34
2020-04-03,35
2020-04-04,44
2020-04-05,36
2020-04-06,28
2020-04-07,44
2020-04-08,42
2020-04-09,35
2020-04-10,59
2020-04-11,36
2020-04-12,55
2020-04-13,57
2020-04-14,46
2020-04-15,49
2020-04-16,35
2020-04-17,39
2020-04-18,50
2020-04-19,63
2020-04-20,92
2020-04-21,53
2020-04-22,68
2020-04-23,66
2020-04-24,60
2020-04-25,57
2020-04-26,62
2020-04-27,62
2020-04-28,69
2020-04-29,46
2020-04-30,89
2020-05-01,99
2020-05-02,77
2020-05-03,52
2020-05-04,61
2020-05-05,68
2020-05-06,45
2020-05-07,74
2020-05-08,81
2020-05-09,77
2020-05-10,93
2020-05-11,56
2020-05-12,63
2020-05-13,57
2020-05-14,49
2020-05-15,68
2020-05-16,64
2020-05-17,52
2020-05-18,70
2020-05-19,64
2020-05-20,67
2020-05-21,36
2020-05-22,60
2020-05-23,35
2020-05-24,42
2020-05-25,58
2020-05-26,36
2020-05-27,31
2020-05-28,27
2020-05-29,27
2020-05-30,30
2020-05-31,16
2020-06-01,36
2020-06-02,14
2020-06-03,17
2020-06-04,14
2020-06-05,11
2020-06-06,5
2020-06-07,12
2020-06-08,10
2020-06-09,6
2020-06-10,6
2020-06-11,2
2020-06-13,2
