"estimate","lower","upper","onset_date","n.reported"
86,86,86,2020-04-30,86
99,99,100,2020-05-01,99
75,75,77,2020-05-02,75
50,50,51,2020-05-03,50
59,59,61,2020-05-04,59
66,65,68,2020-05-05,65
45,44,48,2020-05-06,44
74,72,77,2020-05-07,72
80,77,84,2020-05-08,77
76,73,80,2020-05-09,73
91,88,96,2020-05-10,87
54,51,59,2020-05-11,51
63,60,68,2020-05-12,59
59,56,64,2020-05-13,55
51,47,56,2020-05-14,46
66,62,72,2020-05-15,60
61,56,68,2020-05-16,54
53,49,60,2020-05-17,46
63,57,70,2020-05-18,54
63,57,70,2020-05-19,53
51,45,59,2020-05-20,41
39,32,46,2020-05-21,28
63,57,72,2020-05-22,50
40,33,49,2020-05-23,26
45,37,54,2020-05-24,29
52,43,63,2020-05-25,34
38,30,49,2020-05-26,20
41,32,52,2020-05-27,21
32,23,44,2020-05-28,11
41,30,54,2020-05-29,16
46,34,60,2020-05-30,17
36,23,51,2020-05-31,6
50,36,68,2020-06-01,16
37,24,55,2020-06-02,5
35,21,54,2020-06-03,3
34,19,54,2020-06-04,2
36,19,57,2020-06-05,3
32,15,56,2020-06-06,NA
34,15,60,2020-06-07,1
34,14,63,2020-06-08,NA
