"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-05-26,NA
1,1,1,2020-05-27,2
0,0,0,2020-05-28,1
1,1,1,2020-05-29,NA
2,2,2,2020-05-30,1
1,1,1,2020-05-31,2
1,1,1,2020-06-01,1
0,0,0,2020-06-02,1
4,4,4,2020-06-03,NA
1,1,1,2020-06-04,4
1,1,1,2020-06-05,1
1,1,1,2020-06-06,1
0,0,0,2020-06-07,1
2,2,2,2020-06-08,NA
2,2,2,2020-06-09,2
2,2,2,2020-06-10,2
1,1,2,2020-06-11,2
4,4,5,2020-06-12,1
4,4,5,2020-06-13,4
1,1,2,2020-06-14,4
5,5,6,2020-06-15,1
4,4,5,2020-06-16,5
1,1,2,2020-06-17,4
1,1,2,2020-06-18,1
2,2,3,2020-06-19,1
0,0,1,2020-06-20,2
2,2,3,2020-06-21,NA
0,0,1,2020-06-22,2
3,3,4,2020-06-23,NA
2,2,3,2020-06-24,3
3,3,4,2020-06-25,2
4,4,5,2020-06-26,3
0,0,2,2020-06-27,4
1,1,3,2020-06-28,NA
0,0,3,2020-06-29,1
1,1,4,2020-06-30,NA
2,1,4,2020-07-01,1
1,0,3,2020-07-02,1
1,0,4,2020-07-03,NA
1,0,4,2020-07-04,NA
