"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-05-05,NA
2,2,2,2020-05-06,2
6,6,6,2020-05-07,2
4,4,4,2020-05-08,6
3,3,3,2020-05-09,4
1,1,1,2020-05-10,3
5,5,5,2020-05-11,1
1,1,1,2020-05-12,5
3,3,3,2020-05-13,1
4,4,4,2020-05-14,3
3,3,3,2020-05-15,4
1,1,1,2020-05-16,3
3,3,3,2020-05-17,1
2,2,2,2020-05-18,3
3,3,4,2020-05-19,2
4,4,5,2020-05-20,3
8,8,9,2020-05-21,4
6,6,7,2020-05-22,8
7,7,8,2020-05-23,6
5,5,6,2020-05-24,7
5,5,6,2020-05-25,5
4,4,5,2020-05-26,5
4,4,5,2020-05-27,4
7,7,8,2020-05-28,4
6,6,8,2020-05-29,7
3,3,4,2020-05-30,6
2,2,3,2020-05-31,3
1,1,3,2020-06-01,2
7,7,9,2020-06-02,1
3,3,5,2020-06-03,7
5,5,7,2020-06-04,3
6,6,8,2020-06-05,5
2,2,4,2020-06-06,6
4,4,6,2020-06-07,2
3,3,5,2020-06-08,4
2,2,5,2020-06-09,3
1,0,3,2020-06-10,2
2,1,5,2020-06-11,NA
1,0,5,2020-06-12,1
2,0,6,2020-06-13,NA
