"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-05-13,2
6,6,6,2020-05-14,6
0,0,0,2020-05-15,NA
2,2,2,2020-05-16,2
5,5,5,2020-05-17,5
6,6,6,2020-05-18,6
10,10,10,2020-05-19,10
5,5,5,2020-05-20,5
3,3,3,2020-05-21,3
5,5,5,2020-05-22,5
4,4,4,2020-05-23,4
4,4,4,2020-05-24,4
4,4,4,2020-05-25,4
6,6,6,2020-05-26,6
5,5,5,2020-05-27,5
8,8,8,2020-05-28,8
7,7,7,2020-05-29,7
7,7,8,2020-05-30,7
5,5,6,2020-05-31,5
12,12,13,2020-06-01,12
4,4,6,2020-06-02,4
3,3,5,2020-06-03,3
3,3,5,2020-06-04,3
6,6,8,2020-06-05,6
6,6,9,2020-06-06,6
6,5,8,2020-06-07,5
6,5,8,2020-06-08,5
5,4,8,2020-06-09,4
13,12,17,2020-06-10,12
10,8,13,2020-06-11,8
15,13,19,2020-06-12,13
17,14,21,2020-06-13,14
12,9,17,2020-06-14,9
10,6,14,2020-06-15,6
14,11,20,2020-06-16,10
10,6,16,2020-06-17,5
14,9,21,2020-06-18,7
16,11,25,2020-06-19,8
16,9,25,2020-06-20,6
12,5,24,2020-06-21,1
