"estimate","lower","upper","onset_date","n.reported"
37,37,37,2020-05-28,37
38,38,41,2020-05-29,38
32,31,35,2020-05-30,31
39,37,43,2020-05-31,37
56,53,60,2020-06-01,53
38,36,43,2020-06-02,36
44,41,48,2020-06-03,41
33,30,38,2020-06-04,30
28,25,33,2020-06-05,25
26,23,31,2020-06-06,23
32,29,37,2020-06-07,28
25,22,30,2020-06-08,21
25,21,30,2020-06-09,20
49,45,55,2020-06-10,43
22,17,27,2020-06-11,16
25,21,31,2020-06-12,19
30,25,36,2020-06-13,23
30,25,37,2020-06-14,22
29,23,36,2020-06-15,20
40,34,48,2020-06-16,30
30,24,39,2020-06-17,19
33,27,42,2020-06-18,21
34,27,44,2020-06-19,21
34,27,44,2020-06-20,20
26,18,37,2020-06-21,11
33,24,44,2020-06-22,15
39,29,51,2020-06-23,18
37,27,50,2020-06-24,13
52,40,68,2020-06-25,23
46,33,62,2020-06-26,14
38,24,56,2020-06-27,4
54,39,76,2020-06-28,15
49,32,73,2020-06-29,6
52,34,81,2020-06-30,7
49,30,78,2020-07-01,3
48,28,81.0249999999996,2020-07-02,2
47,27,83,2020-07-03,1
46,23,83,2020-07-04,NA
46,22,87,2020-07-05,NA
46,21,93,2020-07-06,NA
