"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-05-23,2
4,4,4,2020-05-24,4
4,4,4,2020-05-25,4
3,3,3,2020-05-26,3
2,2,3,2020-05-27,2
2,2,3,2020-05-28,2
3,3,4,2020-05-29,3
2,2,3,2020-05-30,2
3,3,5,2020-05-31,3
8,8,11,2020-06-01,8
7,7,10,2020-06-02,7
4,4,7,2020-06-03,4
6,6,10,2020-06-04,6
8,7,12,2020-06-05,7
7,6,12,2020-06-06,6
11,9,16,2020-06-07,9
7,5,12,2020-06-08,5
9,7,14,2020-06-09,7
6,4,12,2020-06-10,4
12,9,18,2020-06-11,9
9,5,15,2020-06-12,5
13,9,20,2020-06-13,9
14,10,21,2020-06-14,9
12,8,19,2020-06-15,7
13,9,20,2020-06-16,8
10,6,16,2020-06-17,5
8,4,14,2020-06-18,3
11,7,17,2020-06-19,6
5,2,11,2020-06-20,1
9,6,15,2020-06-21,5
5,1,11,2020-06-22,1
7,4,13,2020-06-23,3
5,1,11,2020-06-24,1
5,1,11,2020-06-25,1
6,3,13,2020-06-26,2
6,2,12,2020-06-27,1
7,3,14,2020-06-28,2
8,3,16,2020-06-29,2
8,3,17,2020-06-30,2
9,4,21,2020-07-01,2
