"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-01,11,NA,11,3.5,NA,NA
2020-03-02,3,NA,3,3.8,NA,NA
2020-03-03,5,NA,5,4.1,NA,NA
2020-03-04,1,NA,1,4.3,NA,NA
2020-03-05,3,NA,3,5,NA,NA
2020-03-06,1,NA,1,4.6,NA,NA
2020-03-07,7,NA,7,5.3,NA,NA
2020-03-08,5,NA,5,5.3,NA,NA
2020-03-09,6,NA,6,6.1,NA,NA
2020-03-10,8,NA,8,7.5,NA,NA
2020-03-11,7,NA,7,8.9,NA,NA
2020-03-12,10,NA,10,11.3,NA,NA
2020-03-13,5,NA,5,13.9,NA,NA
2020-03-14,9,NA,9,15.7,NA,NA
2020-03-15,17,NA,17,19,NA,NA
2020-03-16,15,NA,15,21.5,NA,NA
2020-03-17,31,NA,31,22.6,NA,NA
2020-03-18,31,NA,31,23.5,NA,NA
2020-03-19,24,NA,24,26.1,NA,NA
2020-03-20,41,NA,41,27.5,NA,NA
2020-03-21,32,NA,32,28.2,NA,NA
2020-03-22,21,NA,21,27.8,NA,NA
2020-03-23,14,NA,14,26.6,NA,NA
2020-03-24,35,NA,35,26.6,NA,NA
2020-03-25,31,NA,31,25.8,NA,NA
2020-03-26,22,NA,22,26.2,NA,NA
2020-03-27,27,NA,27,28.9,NA,NA
2020-03-28,19,NA,19,31.3,NA,NA
2020-03-29,24,NA,24,31.6,NA,NA
2020-03-30,33,NA,33,33.7,NA,NA
2020-03-31,36,NA,36,36.9,NA,NA
2020-04-01,48,NA,48,41.4,NA,NA
2020-04-02,38,NA,38,43.7,NA,NA
2020-04-03,38,NA,38,48.5,NA,NA
2020-04-04,52,NA,52,51.1,NA,NA
2020-04-05,54,NA,54,56.4,NA,NA
2020-04-06,72,NA,72,57.7,NA,NA
2020-04-07,42,NA,42,60.5,NA,NA
2020-04-08,72,NA,72,64.7,NA,NA
2020-04-09,59,NA,59,68.8,NA,NA
2020-04-10,89,NA,89,72.6,NA,NA
2020-04-11,61,NA,61,75.2,NA,NA
2020-04-12,66,NA,66,81.8,NA,NA
2020-04-13,80,NA,80,85,NA,NA
2020-04-14,93,NA,93,87.8,NA,NA
2020-04-15,92,NA,92,92.1,NA,NA
2020-04-16,98,NA,98,94.6,NA,NA
2020-04-17,108,NA,108,97.4,NA,NA
2020-04-18,104,NA,104,99.8,NA,NA
2020-04-19,87,NA,87,101,NA,NA
2020-04-20,132,NA,132,102.5,NA,NA
2020-04-21,88,NA,86,101.1,NA,NA
2020-04-22,NA,94,94,99.6,94,95
2020-04-23,NA,104,104,100.7,104,106
2020-04-24,NA,105,105,102.2,105,107
2020-04-25,NA,107,107,99.9,107,110
2020-04-26,NA,84,84,104,83,87
2020-04-27,NA,93,93,103.7,91,96
2020-04-28,NA,115,115,103.4,112,119
2020-04-29,NA,102,102,102.5,99,107
2020-04-30,NA,109,109,101.3,105,114
2020-05-01,NA,127,127,103.2,123,133
2020-05-02,NA,91,91,100.6,86,98
2020-05-03,NA,101,101,97.5,96,108
2020-05-04,NA,96,96,95.4,90,103
2020-05-05,NA,95,95,96.3,89,103
2020-05-06,NA,103,103,92.8,97,111
2020-05-07,NA,67,67,94.6,60,75
2020-05-08,NA,84,84,95.1,77,93
2020-05-09,NA,81,81,95.9,73,91
2020-05-10,NA,118,118,96.9,110,129
2020-05-11,NA,92,92,94.5,82,103
2020-05-12,NA,109,109,96.4,98,121
2020-05-13,NA,106,106,97.5,94,119
2020-05-14,NA,104,104,98.2,92,118
2020-05-15,NA,105,105,96.3,92,119
2020-05-16,NA,79,79,95.6,66,93
2020-05-17,NA,86,86,93.9,73,101
2020-05-18,NA,95,95,91.6,80,111
2020-05-19,NA,88,88,90.1,73,105
2020-05-20,NA,99,99,88.4,83,118
2020-05-21,NA,85,85,88.8,68,104
2020-05-22,NA,92,92,88.4,74,112.025
2020-05-23,NA,83,83,87.3,64,105
2020-05-24,NA,89,89,87.6,69,112
2020-05-25,NA,88,88,86.4,67,114
2020-05-26,NA,83,83,86.5555555555556,60,110.025
2020-05-27,NA,82,82,85.875,58,112
2020-05-28,NA,84,84,86.2857142857143,59,117
2020-05-29,NA,91,91,85.8333333333333,63,129
2020-05-30,NA,87,87,85.4,58,129
