"estimate","lower","upper","onset_date","n.reported"
26,26,26,2020-05-28,26
22,22,23,2020-05-29,22
30,30,34,2020-05-30,30
29,29,33,2020-05-31,29
42,42,46,2020-06-01,42
38,38,42,2020-06-02,38
24,24,28,2020-06-03,24
34,34,39,2020-06-04,34
31,30,35,2020-06-05,30
41,40,45,2020-06-06,40
38,37,43,2020-06-07,37
34,33,38.0249999999996,2020-06-08,33
37,36,42,2020-06-09,36
45,43,50,2020-06-10,43
39,36,44,2020-06-11,36
43,40,49,2020-06-12,40
34,30,39,2020-06-13,30
40,36,46,2020-06-14,36
55,52,62,2020-06-15,51
39,35,46,2020-06-16,34
40,35,47,2020-06-17,34
39,34,46,2020-06-18,32
46,40,54,2020-06-19,37
61,54,70,2020-06-20,50
34,27,42,2020-06-21,22
38,31,47,2020-06-22,25
33,26,42,2020-06-23,19
40,32,49,2020-06-24,24
45,36,55,2020-06-25,27
34,25,45,2020-06-26,15
32,23,43,2020-06-27,12
31,21,43,2020-06-28,9
30,19,43,2020-06-29,6
35,23,49,2020-06-30,8
35,23,50,2020-07-01,6
36,23,52,2020-07-02,5
35,21,53,2020-07-03,2
35,21,56,2020-07-04,1
37,22,61,2020-07-05,2
36,20,61,2020-07-06,NA
