"estimate","lower","upper","onset_date","n.reported"
20,20,20,2020-05-19,20
12,12,12,2020-05-20,12
11,11,11,2020-05-21,11
13,13,13,2020-05-22,13
13,13,13,2020-05-23,13
11,11,11,2020-05-24,11
15,15,16,2020-05-25,15
12,12,13,2020-05-26,12
10,10,12,2020-05-27,10
12,12,14,2020-05-28,12
5,5,7,2020-05-29,5
3,3,5,2020-05-30,3
9,9,11,2020-05-31,9
0,0,2,2020-06-01,NA
8,8,11,2020-06-02,8
3,3,6,2020-06-03,3
5,4,8,2020-06-04,4
6,4,9,2020-06-05,4
5,3,9,2020-06-06,3
6,4,11,2020-06-07,4
7,4,12,2020-06-08,4
4,1,9,2020-06-09,1
6,3,12,2020-06-10,3
7,3,13,2020-06-11,3
10,7,17,2020-06-12,6
6,3,12,2020-06-13,2
5,1,11,2020-06-14,1
10,7,17,2020-06-15,6
4,1,10,2020-06-16,1
4,1,9,2020-06-17,1
2,0,7,2020-06-18,NA
2,0,7,2020-06-19,NA
2,0,6,2020-06-20,NA
2,0,6,2020-06-21,NA
2,0,6,2020-06-22,NA
1,0,6,2020-06-23,NA
1,0,6,2020-06-24,NA
1,0,7,2020-06-25,NA
1,0,7,2020-06-26,NA
1,0,7,2020-06-27,NA
