"estimate","lower","upper","onset_date","n.reported"
41,41,41,2020-04-27,41
44,43,50,2020-04-28,43
41,40,47,2020-04-29,40
37,36,43,2020-04-30,36
62,59,68,2020-05-01,59
49,46,56,2020-05-02,46
40,37,47,2020-05-03,37
48,44,55,2020-05-04,44
54,50,61,2020-05-05,49
49,45,56,2020-05-06,44
46,42,54,2020-05-07,41
33,29,40,2020-05-08,28
48,43,55,2020-05-09,42
52,48,60,2020-05-10,46
57,52,65,2020-05-11,50
44,39,52,2020-05-12,37
41,35,49,2020-05-13,33
52,46,60,2020-05-14,43
60,54,69,2020-05-15,50
63,56,72,2020-05-16,52
44,38,54,2020-05-17,33
56,49,66,2020-05-18,43
49,41,58,2020-05-19,35
70,62,81,2020-05-20,55
61,52,72,2020-05-21,44
61,52,72,2020-05-22,43
56,47,68,2020-05-23,37
53,44,65,2020-05-24,32
72,62,85,2020-05-25,47
59,48,72.0249999999996,2020-05-26,31
67,55,81,2020-05-27,35
61,48,77,2020-05-28,24
63,49,80,2020-05-29,22
68,53,87,2020-05-30,22
64,48,85,2020-05-31,13
67,49,89,2020-06-01,11
67,48,91,2020-06-02,7
65,44,91,2020-06-03,2
65,43,94,2020-06-04,NA
65,42,96,2020-06-05,NA
