"estimate","lower","upper","onset_date","n.reported"
157,157,157,2020-05-01,157
107,106,111,2020-05-02,106
102,99,107,2020-05-03,99
115,111,120,2020-05-04,111
102,99,108,2020-05-05,99
104,101,109,2020-05-06,100
77,74,83,2020-05-07,73
107,103,114,2020-05-08,101
91,86,98,2020-05-09,83
133,126,142,2020-05-10,120
112,106,121,2020-05-11,100
97,90,105,2020-05-12,85
101,94,109,2020-05-13,88
93,86,102,2020-05-14,80
109,101,119,2020-05-15,94
68,61,77,2020-05-16,56
74,67,83,2020-05-17,61
84,77,93,2020-05-18,69
73,66,83,2020-05-19,58
94,86,105,2020-05-20,76
66,58,75,2020-05-21,50
58,50,67,2020-05-22,43
62,54,72,2020-05-23,46
66,57,77,2020-05-24,46
89,79,102,2020-05-25,64
61,51,72,2020-05-26,39
55,45,66,2020-05-27,34
39,30,50,2020-05-28,20
64,54,77,2020-05-29,40
36,27,48,2020-05-30,17
29,20,40,2020-05-31,12
23,15,34,2020-06-01,8
21,13,32,2020-06-02,7
16,8,28,2020-06-03,3
17,9,28,2020-06-04,4
12,4,24,2020-06-05,NA
13,5,26,2020-06-06,1
12,3,27,2020-06-07,NA
12,3,29,2020-06-08,NA
13,3,33,2020-06-09,NA
