"dt_notific","n.notific"
2020-01-13,1
2020-01-14,3
2020-01-16,4
2020-01-22,2
2020-01-28,1
2020-02-04,2
2020-02-05,2
2020-02-07,2
2020-02-15,1
2020-02-17,1
2020-02-18,1
2020-02-23,1
2020-02-24,2
2020-02-29,1
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-06,1
2020-03-09,2
2020-03-10,3
2020-03-11,2
2020-03-12,1
2020-03-13,2
2020-03-16,1
2020-03-17,1
2020-03-18,3
2020-03-20,3
2020-03-21,5
2020-03-22,8
2020-03-23,10
2020-03-24,12
2020-03-25,10
2020-03-26,10
2020-03-27,8
2020-03-28,7
2020-03-29,7
2020-03-30,11
2020-03-31,12
2020-04-01,4
2020-04-02,22
2020-04-03,3
2020-04-04,5
2020-04-05,4
2020-04-06,12
2020-04-07,7
2020-04-08,4
2020-04-09,12
2020-04-11,4
2020-04-12,5
2020-04-13,14
2020-04-14,9
2020-04-15,6
2020-04-16,6
2020-04-17,4
2020-04-19,3
2020-04-20,4
2020-04-21,5
2020-04-22,9
2020-04-23,9
2020-04-24,10
2020-04-25,5
2020-04-26,3
2020-04-27,13
2020-04-28,4
2020-04-29,5
2020-04-30,6
2020-05-01,1
2020-05-02,4
2020-05-03,3
2020-05-04,10
2020-05-05,4
2020-05-06,11
2020-05-07,7
2020-05-08,2
2020-05-09,3
2020-05-10,3
2020-05-11,9
2020-05-12,15
2020-05-13,10
2020-05-14,6
2020-05-15,8
2020-05-16,5
2020-05-17,2
2020-05-18,18
2020-05-19,10
2020-05-20,10
2020-05-21,9
2020-05-22,7
2020-05-23,2
2020-05-24,3
2020-05-25,13
2020-05-26,10
2020-05-27,5
2020-05-28,4
2020-05-29,14
2020-05-30,1
2020-05-31,1
2020-06-01,5
2020-06-02,12
2020-06-03,8
2020-06-04,5
2020-06-05,4
2020-06-06,1
2020-06-07,2
