"dt_notific","n.notific"
2020-03-21,1
2020-03-27,1
2020-03-31,2
2020-04-03,1
2020-04-07,1
2020-04-19,1
2020-04-20,1
2020-04-29,1
2020-04-30,1
2020-05-01,1
2020-05-02,1
2020-05-05,3
2020-05-06,2
2020-05-07,2
2020-05-08,3
2020-05-09,5
2020-05-10,4
2020-05-11,1
2020-05-12,4
2020-05-13,1
2020-05-14,2
2020-05-16,3
2020-05-17,2
2020-05-18,4
2020-05-19,2
2020-05-20,2
2020-05-21,1
2020-05-22,4
2020-05-23,4
2020-05-24,1
2020-05-25,5
2020-05-26,6
2020-05-27,3
2020-05-28,5
2020-05-29,4
2020-05-30,2
2020-06-01,6
2020-06-02,4
2020-06-03,1
2020-06-04,4
2020-06-05,3
2020-06-06,3
2020-06-07,2
2020-06-08,5
2020-06-09,5
2020-06-10,4
2020-06-11,2
2020-06-12,7
2020-06-13,1
2020-06-14,3
2020-06-15,5
2020-06-16,5
2020-06-17,4
2020-06-18,3
2020-06-19,5
2020-06-20,3
2020-06-21,3
2020-06-22,6
2020-06-23,4
2020-06-24,2
2020-06-25,3
2020-06-26,2
2020-06-27,2
2020-06-28,3
2020-06-29,3
2020-06-30,3
2020-07-01,3
2020-07-02,6
2020-07-03,3
2020-07-04,1
2020-07-05,1
2020-07-06,3
2020-07-07,4
2020-07-08,1
2020-07-09,8
2020-07-10,3
2020-07-14,6
