"estimate","lower","upper","onset_date","n.reported"
14,14,14,2020-04-30,14
22,22,25,2020-05-01,22
13,13,17,2020-05-02,13
14,13,16,2020-05-03,13
19,18,22,2020-05-04,18
9,8,12,2020-05-05,8
8,7,11,2020-05-06,7
13,12,16,2020-05-07,12
19,18,23,2020-05-08,18
14,12,18,2020-05-09,12
15,13,19,2020-05-10,13
11,9,15,2020-05-11,9
26,23,31,2020-05-12,23
10,7,14,2020-05-13,7
17,14,22,2020-05-14,14
23,20,29,2020-05-15,20
10,7,15,2020-05-16,6
21,18,27,2020-05-17,17
24,20,30,2020-05-18,19
16,12,22,2020-05-19,11
18,14,25,2020-05-20,13
16,12,23,2020-05-21,11
9,5,16,2020-05-22,4
17,13,23,2020-05-23,11
15,11,22,2020-05-24,9
14,10,21,2020-05-25,8
17,13,24,2020-05-26,11
11,6,17,2020-05-27,4
16,11,24,2020-05-28,9
11,6,19,2020-05-29,4
10,4,17,2020-05-30,2
12,6,20,2020-05-31,4
12,6,21,2020-06-01,4
11,5,19,2020-06-02,2
11,4,20,2020-06-03,2
9,2,19,2020-06-04,NA
9,2,19,2020-06-05,NA
9,2,20,2020-06-06,NA
9,2,21,2020-06-07,NA
10,2,21,2020-06-08,NA
