"dt_notific","n.notific"
2020-03-12,1
2020-03-15,2
2020-03-16,5
2020-03-17,6
2020-03-18,25
2020-03-19,26
2020-03-20,39
2020-03-21,18
2020-03-22,11
2020-03-23,53
2020-03-24,45
2020-03-25,34
2020-03-26,52
2020-03-27,47
2020-03-28,20
2020-03-29,18
2020-03-30,57
2020-03-31,52
2020-04-01,53
2020-04-02,46
2020-04-03,26
2020-04-04,18
2020-04-05,20
2020-04-06,59
2020-04-07,36
2020-04-08,36
2020-04-09,27
2020-04-10,22
2020-04-11,18
2020-04-12,12
2020-04-13,19
2020-04-14,28
2020-04-15,21
2020-04-16,13
2020-04-17,18
2020-04-18,3
2020-04-19,3
2020-04-20,5
2020-04-22,2
2020-04-23,5
