"dt_notific","n.notific"
2020-01-02,4
2020-01-03,3
2020-01-05,1
2020-01-06,5
2020-01-07,2
2020-01-08,3
2020-01-09,4
2020-01-10,3
2020-01-13,6
2020-01-14,5
2020-01-15,3
2020-01-16,4
2020-01-17,1
2020-01-19,1
2020-01-20,5
2020-01-21,1
2020-01-22,2
2020-01-23,4
2020-01-25,1
2020-01-27,5
2020-01-28,4
2020-01-29,4
2020-01-30,3
2020-01-31,3
2020-02-02,1
2020-02-03,3
2020-02-04,1
2020-02-05,6
2020-02-06,1
2020-02-07,8
2020-02-10,6
2020-02-11,4
2020-02-12,5
2020-02-13,4
2020-02-14,8
2020-02-16,1
2020-02-17,7
2020-02-18,7
2020-02-19,6
2020-02-20,13
2020-02-21,10
2020-02-22,1
2020-02-24,10
2020-02-26,19
2020-02-27,13
2020-02-28,13
2020-03-01,1
2020-03-02,14
2020-03-03,9
2020-03-04,11
2020-03-05,5
2020-03-06,9
2020-03-07,6
2020-03-08,3
2020-03-09,27
2020-03-10,6
2020-03-11,16
2020-03-12,20
2020-03-13,36
2020-03-14,11
2020-03-15,18
2020-03-16,63
2020-03-17,63
2020-03-18,134
2020-03-19,199
2020-03-20,386
2020-03-21,213
2020-03-22,143
2020-03-23,532
2020-03-24,437
2020-03-25,456
2020-03-26,527
2020-03-27,570
2020-03-28,269
2020-03-29,217
2020-03-30,770
2020-03-31,565
2020-04-01,600
2020-04-02,548
2020-04-03,460
2020-04-04,292
2020-04-05,212
2020-04-06,732
2020-04-07,489
2020-04-08,479
2020-04-09,465
2020-04-10,310
2020-04-11,275
2020-04-12,231
2020-04-13,621
2020-04-14,544
2020-04-15,552
2020-04-16,461
2020-04-17,477
2020-04-18,323
2020-04-19,264
2020-04-20,553
2020-04-21,363
2020-04-22,746
2020-04-23,682
2020-04-24,655
2020-04-25,407
2020-04-26,324
2020-04-27,925
2020-04-28,606
2020-04-29,834
2020-04-30,739
2020-05-01,533
2020-05-02,404
2020-05-03,340
2020-05-04,883
2020-05-05,737
2020-05-06,715
2020-05-07,632
2020-05-08,616
2020-05-09,393
2020-05-10,329
2020-05-11,868
2020-05-12,760
2020-05-13,663
2020-05-14,755
2020-05-15,658
2020-05-16,369
2020-05-17,371
2020-05-18,881
2020-05-19,847
2020-05-20,738
2020-05-21,652
2020-05-22,797
2020-05-23,410
2020-05-24,309
2020-05-25,721
2020-05-26,721
2020-05-27,775
2020-05-28,651
2020-05-29,589
2020-05-30,425
2020-05-31,302
2020-06-01,850
2020-06-02,698
2020-06-03,668
2020-06-04,576
2020-06-05,579
2020-06-06,348
2020-06-07,371
2020-06-08,733
2020-06-09,630
2020-06-10,682
2020-06-11,526
2020-06-12,558
2020-06-13,344
2020-06-14,228
2020-06-15,664
2020-06-16,565
2020-06-17,561
2020-06-18,452
2020-06-19,360
2020-06-20,133
2020-06-21,112
