"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-02-09,10,NA,10,5.7,NA,NA
2020-02-10,13,NA,13,6.3,NA,NA
2020-02-11,1,NA,1,6.4,NA,NA
2020-02-12,9,NA,9,7,NA,NA
2020-02-13,7,NA,7,7.1,NA,NA
2020-02-14,5,NA,5,6.8,NA,NA
2020-02-15,7,NA,7,7,NA,NA
2020-02-16,5,NA,5,7.7,NA,NA
2020-02-17,10,NA,10,7.9,NA,NA
2020-02-18,4,NA,4,8.1,NA,NA
2020-02-19,7,NA,7,8.5,NA,NA
2020-02-20,15,NA,15,9.5,NA,NA
2020-02-21,8,NA,8,9.6,NA,NA
2020-02-22,11,NA,11,9.4,NA,NA
2020-02-23,9,NA,9,10.7,NA,NA
2020-02-24,9,NA,9,11.1,NA,NA
2020-02-25,17,NA,17,12.9,NA,NA
2020-02-26,6,NA,6,14.2,NA,NA
2020-02-27,8,NA,8,16.8,NA,NA
2020-02-28,17,NA,17,19.3,NA,NA
2020-02-29,11,NA,11,21.4,NA,NA
2020-03-01,33,NA,33,24.1,NA,NA
2020-03-02,21,NA,21,27.7,NA,NA
2020-03-03,37,NA,37,32.6,NA,NA
2020-03-04,34,NA,34,39.6,NA,NA
2020-03-05,30,NA,30,50.1,NA,NA
2020-03-06,44,NA,44,59.2,NA,NA
2020-03-07,42,NA,42,72.7,NA,NA
2020-03-08,57,NA,57,87,NA,NA
2020-03-09,87,NA,87,105.8,NA,NA
2020-03-10,116,NA,116,131.8,NA,NA
2020-03-11,124,NA,124,165.6,NA,NA
2020-03-12,156,NA,156,195.6,NA,NA
2020-03-13,180,NA,180,227.3,NA,NA
2020-03-14,222,NA,222,257.4,NA,NA
2020-03-15,291,NA,290,304.2,NA,NA
2020-03-16,NA,382,382,337.8,379,387
2020-03-17,NA,342,342,367.7,339,348
2020-03-18,NA,374,374,406.4,370,381
2020-03-19,NA,388,388,435.8,382,396
2020-03-20,NA,584,584,456.3,576,595
2020-03-21,NA,460,460,468.4,453,471
2020-03-22,NA,455,455,477.7,447,466
2020-03-23,NA,567,567,484.8,558,580
2020-03-24,NA,516,516,489.6,507,529
2020-03-25,NA,495,495,477.6,486,509
2020-03-26,NA,503,503,475.1,493,517
2020-03-27,NA,435,435,485.1,425,447
2020-03-28,NA,445,445,473.1,434,458
2020-03-29,NA,436,436,464.2,425,450
2020-03-30,NA,464,464,454.8,453,478
2020-03-31,NA,435,435,445.8,423,449
2020-04-01,NA,555,555,449.2,541,572
2020-04-02,NA,447,447,448.2,434,463
2020-04-03,NA,427,427,451.2,414,442
2020-04-04,NA,401,401,451.9,388,417
2020-04-05,NA,413,413,466.1,399,430
2020-04-06,NA,469,469,453.7,453,487
2020-04-07,NA,435,435,456.4,418,454
2020-04-08,NA,466,466,466.5,448,488
2020-04-09,NA,471,471,477,451,495
2020-04-10,NA,577,577,495.4,553,604
2020-04-11,NA,431,431,505.1,408,457
2020-04-12,NA,474,474,523.7,447,503
2020-04-13,NA,528,528,549.4,497,562
2020-04-14,NA,506,506,571.2,471,544
2020-04-15,NA,597,597,607.3,556,644
2020-04-16,NA,566,566,651.2,518,618
2020-04-17,NA,621,621,707.15,563.975,684
2020-04-18,NA,723,723,753.85,653,802
2020-04-19,NA,689,689,781.388888888889,606,775
2020-04-20,NA,938,938,804.4375,821,1062
2020-04-21,NA,870,870,838.5,741,1020
2020-04-22,NA,1033.5,1033.5,874.75,839,1293
2020-04-23,NA,995,995,905.1,723,1388.025
